scenario_id,kpi,strategy_1,strategy_2,mean_1,mean_2,diff,t_statistic,p_raw,p_bonferroni,significance
5,total_distance_km,distance,time,134.4,164.45,30.05,-8.782,0.0,0.0,***
5,total_distance_km,time,priority,164.45,204.66,40.21,-11.318,0.0,0.0,***
5,total_distance_km,distance,priority,134.4,204.66,70.26,-20.654,0.0,0.0,***
5,people_reached_within_60min,distance,time,4480.63,9074.05,4593.42,-20.266,0.0,0.0,***
5,people_reached_within_60min,time,priority,9074.05,6264.73,-2809.32,15.043,0.0,0.0,***
5,people_reached_within_60min,distance,priority,4480.63,6264.73,1784.1,-11.924,0.0,0.0,***
5,priority1_shelters_reached_within_60min,distance,time,1.33,2.09,0.76,-7.407,0.0,0.0,***
5,priority1_shelters_reached_within_60min,time,priority,2.09,2.41,0.32,-3.632,0.00032,0.000959,***
5,priority1_shelters_reached_within_60min,distance,priority,1.33,2.41,1.08,-16.109,0.0,0.0,***
5,avg_speed_kmh,distance,time,12.71,31.24,18.54,-56.423,0.0,0.0,***
5,avg_speed_kmh,time,priority,31.24,31.96,0.72,-1.777,0.07609,0.228269,ns
5,avg_speed_kmh,distance,priority,12.71,31.96,19.25,-69.643,0.0,0.0,***
5,coverage_rate_pct,distance,time,97.95,97.95,0.0,0.0,1.0,1.0,ns
5,coverage_rate_pct,time,priority,97.95,97.95,0.0,0.0,1.0,1.0,ns
5,coverage_rate_pct,distance,priority,97.95,97.95,0.0,0.0,1.0,1.0,ns
5,shelters_reached_within_60min,distance,time,5.26,8.43,3.17,-25.84,0.0,0.0,***
5,shelters_reached_within_60min,time,priority,8.43,2.41,-6.02,60.609,0.0,0.0,***
5,shelters_reached_within_60min,distance,priority,5.26,2.41,-2.85,34.072,0.0,0.0,***
5,time_to_50pct_people_min,distance,time,117.99,51.83,-66.17,18.263,0.0,0.0,***
5,time_to_50pct_people_min,time,priority,51.83,133.22,81.4,-16.602,0.0,0.0,***
5,time_to_50pct_people_min,distance,priority,117.99,133.22,15.23,-2.618,0.009083,0.027249,*
6,total_time_min,distance,time,707.18,390.52,-316.66,34.982,0.0,0.0,***
6,total_time_min,time,priority,390.52,465.71,75.19,-10.472,0.0,0.0,***
